Bank Name,Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
Innovative Bank,16-Apr-10,$268.90 ,$225.20 
Butler Bank,16-Apr-10,$268.00 ,$233.20 
Riverside National Bank of Florida,16-Apr-10,"$3,420.00 ","$2,760.00 "
AmericanFirst Bank,16-Apr-10,$90.50 ,$81.90 
First Federal Bank of North Florida,16-Apr-10,$393.30 ,$324.20 
Lakeside Community Bank,16-Apr-10,$53.00 ,$52.30 
Beach First National Bank,09-Apr-10,$585.10 ,$516.00 
Desert Hills Bank,26-Mar-10,$496.60 ,$426.50 
Unity National Bank,26-Mar-10,$292.20 ,$264.30 
Key West Bank,26-Mar-10,$88.00 ,$67.70 
McIntosh Commercial Bank,26-Mar-10,$362.90 ,$343.30 
State Bank of Aurora,19-Mar-10,$28.20 ,$27.80 
First Lowndes Bank,19-Mar-10,$137.20 ,$131.10 
Bank of Hiawassee,19-Mar-10,$377.80 ,$339.60 
Appalachian Community Bank,19-Mar-10,"$1,010.00 ",$917.60 
Advanta Bank Corp.,19-Mar-10,"$1,600.00 ","$1,500.00 "
Century Security Bank,19-Mar-10,$96.50 ,$94.00 
American National Bank,19-Mar-10,$70.30 ,$66.80 
Statewide Bank,12-Mar-10,$243.20 ,$208.80 
Old Southern Bank,12-Mar-10,$315.60 ,$319.70 
Park Avenue Bank,12-Mar-10,$520.10 ,$494.50 
LibertyPointe Bank,11-Mar-10,$209.70 ,$209.50 
Centennial Bank,05-Mar-10,$215.20 ,$205.10 
Waterfield Bank,05-Mar-10,$155.60 ,$156.40 
Bank of Illinois,05-Mar-10,$211.70 ,$198.50 
Sun American Bank,05-Mar-10,$535.70 ,$443.50 
Rainier Pacific Bank,26-Feb-10,$717.80 ,$446.20 
Carson River Community Bank,26-Feb-10,$51.10 ,$50.00 
La Jolla Bank,19-Feb-10,"$3,600.00 ","$2,800.00 "
George Washington Savings Bank,19-Feb-10,$412.80 ,$395.30 
The La Coste National Bank,19-Feb-10,$53.90 ,$49.30 
Marco Community Bank,19-Feb-10,$119.60 ,$117.10 
1st American State Bank of Minnesota,05-Feb-10,$18.20 ,$16.30 
American Marine Bank,29-Jan-10,$373.20 ,$308.50 
First Regional Bank,29-Jan-10,"$2,180.00 ","$1,870.00 "
Community Bank and Trust,29-Jan-10,"$1,210.00 ","$1,110.00 "
Marshall Bank,29-Jan-10,$59.90 ,$54.70 
Florida Community Bank,29-Jan-10,$875.50 ,$795.50 
First National Bank of Georgia,29-Jan-10,$832.60 ,$757.90 
Columbia River Bank,22-Jan-10,"$1,100.00 ","$1,000.00 "
Evergreen Bank,22-Jan-10,$488.50 ,$439.40 
Charter Bank,22-Jan-10,"$1,200.00 ",$851.50 
Bank of Leeton,22-Jan-10,$20.10 ,$20.40 
Premier American Bank,22-Jan-10,$350.90 ,$326.30 
Barnes Banking Company,15-Jan-10,$827.80 ,$786.50 
St. Stephen State Bank,15-Jan-10,$24.70 ,$23.40 
Town Community Bank and Trust,15-Jan-10,$69.60 ,$67.40 
Horizon Bank,08-Jan-10,"$1,300.00 ","$1,100.00 "
First Federal Bank of California,18-Dec-09,"$6,100.00 ","$4,500.00 "
Imperial Capital Bank,18-Dec-09,"$4,000.00 ","$2,800.00 "
Independent Bankers' Bank,18-Dec-09,$585.50 ,$511.50 
New South Federal Savings Bank,18-Dec-09,"$1,500.00 ","$1,200.00 "
Citizens State Bank,18-Dec-09,$168.60 ,$157.10 
Peoples First Community Bank,18-Dec-09,"$1,800.00 ","$1,700.00 "
RockBridge Commercial Bank,18-Dec-09,$294.00 ,$291.70 
SolutionsBank,11-Dec-09,$511.10 ,$421.30 
Valley Capital Bank,11-Dec-09,$40.30 ,$41.30 
Republic Federal Bank,11-Dec-09,$433.00 ,$352.70 
Greater Atlantic Bank,04-Dec-09,$203.00 ,$179.00 
Benchmark Bank,04-Dec-09,$170.00 ,$181.00 
AmTrust Bank,04-Dec-09,"$12,000.00 ","$8,000.00 "
The Tattnall Bank,04-Dec-09,$49.60 ,$47.30 
First Security National Bank,04-Dec-09,$128.00 ,$123.00 
The Buckhead Community Bank,04-Dec-09,$874.00 ,$838.00 
Commerce Bank of Southwest Florida,20-Nov-09,$79.70 ,$76.70 
Pacific Coast National Bank,13-Nov-09,$134.40 ,$130.90 
Orion Bank,13-Nov-09,"$2,700.00 ","$2,100.00 "
Century Bank,13-Nov-09,$728.00 ,$631.00 
United Commercial Bank,06-Nov-09,"$11,200.00 ","$7,500.00 "
Gateway Bank of St. Louis,06-Nov-09,$27.70 ,$27.90 
Prosperan Bank,06-Nov-09,$199.50 ,$175.60 
Home Federal Savings Bank,06-Nov-09,$14.90 ,$12.80 
United Security Bank,06-Nov-09,$157.00 ,$150.00 
North Houston Bank,30-Oct-09,$326.20 ,$308.00 
Madisonville State Bank,30-Oct-09,$256.70 ,$225.20 
Citizens National Bank,30-Oct-09,$118.20 ,$97.70 
Park National Bank,30-Oct-09,"$4,706.10 ","$3,730.90 "
Pacific National Bank,30-Oct-09,"$2,335.30 ","$1,762.80 "
California National Bank,30-Oct-09,"$7,792.20 ","$6,160.40 "
San Diego National Bank,30-Oct-09,"$3,608.10 ","$2,892.40 "
Community Bank of Lemont,30-Oct-09,$81.80 ,$81.20 
Bank USA,30-Oct-09,$212.80 ,$117.10 
First DuPage Bank,23-Oct-09,$279.00 ,$254.00 
Riverview Community Bank,23-Oct-09,$108.00 ,$80.00 
Bank of Elmwood,23-Oct-09,$327.40 ,$273.20 
Flagship National Bank,23-Oct-09,$190.00 ,$175.00 
Hillcrest Bank Florida,23-Oct-09,$83.00 ,$84.00 
American United Bank,23-Oct-09,$111.00 ,$101.00 
Partners Bank,23-Oct-09,$65.50 ,$64.90 
San Joaquin Bank,16-Oct-09,$775.00 ,$631.00 
Southern Colorado National Bank,02-Oct-09,$39.50 ,$31.90 
Jennings State Bank,02-Oct-09,$56.30 ,$52.40 
Warren Bank,02-Oct-09,$538.00 ,$501.00 
Georgian Bank,25-Sep-09,"$2,000.00 ","$2,000.00 "
Irwin Union Bank,18-Sep-09,$493.00 ,$441.00 
Irwin Union Bank and Trust Company,18-Sep-09,"$2,700.00 ","$2,100.00 "
Venture Bank,11-Sep-09,$970.00 ,$903.00 
Brickwell Community Bank,11-Sep-09,$72.00 ,$63.00 
Corus Bank,11-Sep-09,"$7,000.00 ","$7,000.00 "
First State Bank,04-Sep-09,$105.00 ,$95.00 
Platinum Community Bank,04-Sep-09,$345.60 ,$305.00 
Vantus Bank,04-Sep-09,$458.00 ,$368.00 
InBank,04-Sep-09,$212.00 ,$199.00 
First Bank of Kansas City,04-Sep-09,$16.00 ,$15.00 
